no,subject,phase,source,ref,text,verdict,correct_phase
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","해체의 방법 및 해체 순서도면","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","가설설비ㆍ방호설비ㆍ환기설비 및 살수ㆍ방화설비 등의 방법","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","사업장 내 연락방법","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","해체물의 처분계획","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","해체작업용 기계ㆍ기구 등의 작업계획서","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","해체작업용 화약류 등의 사용계획서","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 구축물등의 해체작업","그 밖에 안전ㆍ보건에 관련된 사항","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","PLAN","별표 4(사전조사·이름매칭)","구축물등의 해체작업","해체건물 등의 구조, 주변 상황 등","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 거푸집 및 동바리의 고정·조립 또는 ","안전한 작업방법을 결정하고 작업을 지휘하는 일","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 거푸집 및 동바리의 고정·조립 또는 ","재료·기구의 결함 유무를 점검하고 불량품을 제거하는 일","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 거푸집 및 동바리의 고정·조립 또는 ","작업 중 안전대 및 안전모 등 보호구 착용 상황을 감시하는 일","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 높이 5미터 이상의 비계(飛階)를 조","재료의 결함 유무를 점검하고 불량품을 제거하는 일","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 높이 5미터 이상의 비계(飛階)를 조","기구·공구·안전대 및 안전모 등의 기능을 점검하고 불량품을 제거하는 일","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 높이 5미터 이상의 비계(飛階)를 조","작업방법 및 근로자 배치를 결정하고 작업 진행 상태를 감시하는 일","ok",""
"절4 해체작업 시 위험방지","해체작업 시 위험방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 높이 5미터 이상의 비계(飛階)를 조","안전대와 안전모 등의 착용 상황을 감시하는 일","ok",""
"절3 입환작업 시의 위험방지","입환작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 입환작업(入換作業)","적절한 작업 인원","ok",""
"절3 입환작업 시의 위험방지","입환작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 입환작업(入換作業)","작업량","ok",""
"절3 입환작업 시의 위험방지","입환작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 입환작업(入換作業)","작업순서","ok",""
"절3 입환작업 시의 위험방지","입환작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 입환작업(入換作業)","작업방법 및 위험요인에 대한 안전조치방법 등","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","작업 방법 및 순서","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","부재(部材)의 낙하ㆍ전도 또는 붕괴를 방지하기 위한 방법","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","작업에 종사하는 근로자의 추락 위험을 방지하기 위한 안전조치 방법","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","공사에 사용되는 가설 철구조물 등의 설치ㆍ사용ㆍ해체 시 안전성 검토 방법","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","사용하는 기계 등의 종류 및 성능, 작업방법","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","작업지휘자 배치계획","ok",""
"절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지","터널ㆍ지하구간 및 교량 작업 시의 위험방지","PLAN","별표 4(이름매칭)","제38조제1항 · 교량작업","그 밖에 안전ㆍ보건에 관련된 사항","ok",""
"절6 석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","PLAN","법령(시행규칙)","시행규칙 제168조","물질안전보건자료대상물질의 관리 요령 게시","ok",""
"절6 석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","ASSIGN","법령(시행규칙)","시행규칙 제169조","물질안전보건자료에 관한 교육의 시기ㆍ내용ㆍ방법 등","ok",""
"절6 석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","EXEC","법령(법)","법 제115조","물질안전보건자료대상물질 용기 등의 경고표시","ok",""
"절6 석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","EXEC","법령(시행규칙)","시행규칙 제167조","물질안전보건자료를 게시하거나 갖추어 두는 방법","ok",""
"절6 석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","EXEC","법령(시행규칙)","시행규칙 제168조","물질안전보건자료대상물질의 관리 요령 게시","ok",""
"절6 석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","석면의 해체ㆍ제거 작업 및 유지ㆍ관리 등의 조치기준","EXEC","법령(시행규칙)","시행규칙 제170조","경고표시 방법 및 기재항목","ok",""
"절3 작업관리 등","작업관리 등","PRECHECK","조문(전용)","제562조","고열ㆍ폭염장해 예방 조치","ok",""
"절2 방사성물질 관리시설 등","방사성물질 관리시설 등","EXEC","조문(전용)","제576조","방사선 장치실","ok",""
"절3 유해가스 발생장소 등에 대한 조치기준","유해가스 발생장소 등에 대한 조치기준","POST","조문(전용)","제632조","냉장실 등의 작업","ok",""
"절2 유해요인 조사 및 개선 등","유해요인 조사 및 개선 등","EXEC","조문(전용)","제658조","유해요인 조사 방법 등","move","PLAN"
